age,work,fnlwgt,edu_num,relation,race,sex,cap_gain,cap_loss,hours,salary
29, State-gov,267989,13, Husband, White, Male,0,0,50, >50K
19, Private,301606,10, Own-child, Black, Male,0,0,35, <=50K
47, Private,287828,13, Wife, White, Female,0,0,40, >50K
20, Private,111697,10, Own-child, White, Female,0,1719,28, <=50K
31, Private,114937,12, Husband, White, Male,0,0,40, >50K
35, ?,129305,9, Husband, White, Male,0,0,40, <=50K
39, Private,365739,10, Not-in-family, White, Male,0,0,40, <=50K
28, Private,69621,12, Not-in-family, White, Female,0,0,60, <=50K
24, Private,43323,9, Not-in-family, White, Female,0,1762,40, <=50K
38, Self-emp-not-inc,120985,9, Husband, White, Male,4386,0,35, <=50K
37, Private,254202,13, Husband, White, Male,0,0,50, <=50K
46, Private,146195,12, Not-in-family, Black, Female,0,0,36, <=50K
38, Federal-gov,125933,14, Husband, White, Male,0,0,40, >50K
43, Self-emp-not-inc,56920,9, Husband, White, Male,0,0,60, <=50K
27, Private,163127,11, Wife, White, Female,0,0,35, <=50K
20, Private,34310,10, Own-child, White, Male,0,0,20, <=50K
49, Private,81973,10, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
61, Self-emp-inc,66614,9, Husband, White, Male,0,0,40, <=50K
27, Private,232782,10, Own-child, White, Female,0,0,40, <=50K
19, Private,316868,10, Own-child, White, Male,0,0,30, <=50K
45, Private,196584,11, Not-in-family, White, Female,0,1564,40, >50K
70, Private,105376,10, Other-relative, White, Male,0,0,40, <=50K
31, Private,185814,9, Unmarried, Black, Female,0,0,30, <=50K
22, Private,175374,10, Husband, White, Male,0,0,24, <=50K
36, Private,108293,9, Unmarried, White, Female,0,0,24, <=50K
64, Private,181232,7, Husband, White, Male,0,2179,40, <=50K
43, ?,174662,10, Not-in-family, White, Female,0,0,40, <=50K
47, Local-gov,186009,10, Unmarried, White, Female,0,0,38, <=50K
34, Private,198183,9, Not-in-family, White, Female,0,0,40, <=50K
33, Private,163003,13, Other-relative, Asian-Pac-Islander, Female,0,0,40, <=50K
21, Private,296158,9, Own-child, White, Male,0,0,35, <=50K
52, ?,252903,9, Not-in-family, White, Male,0,0,45, >50K
48, Private,187715,9, Husband, White, Male,0,0,46, <=50K
23, Private,214542,13, Not-in-family, White, Male,0,0,40, <=50K
71, Self-emp-not-inc,494223,10, Unmarried, Black, Male,0,1816,2, <=50K
29, Private,191535,9, Not-in-family, White, Male,0,0,60, <=50K
42, Private,228456,13, Other-relative, Black, Male,0,0,50, <=50K
68, ?,38317,2, Not-in-family, White, Female,0,0,20, <=50K
25, Private,252752,9, Unmarried, White, Female,0,0,40, <=50K
44, Self-emp-inc,78374,14, Unmarried, Asian-Pac-Islander, Female,0,0,40, <=50K
28, Private,88419,9, Not-in-family, Asian-Pac-Islander, Female,0,0,40, <=50K
45, Self-emp-not-inc,201080,14, Husband, White, Male,0,0,40, >50K
36, Private,207157,10, Unmarried, White, Female,0,0,40, <=50K
39, Federal-gov,235485,12, Not-in-family, White, Male,0,0,42, <=50K
46, State-gov,102628,14, Unmarried, White, Male,0,0,40, <=50K
18, Private,25828,7, Own-child, White, Male,0,0,16, <=50K
66, Local-gov,54826,11, Not-in-family, White, Female,0,0,20, <=50K
27, Private,124953,9, Not-in-family, White, Male,0,1980,40, <=50K
28, State-gov,175325,9, Husband, White, Male,0,0,40, <=50K
51, Private,96062,10, Husband, White, Male,0,1977,40, >50K
27, Private,428030,13, Not-in-family, White, Male,0,0,50, <=50K
28, State-gov,149624,13, Husband, White, Male,0,0,40, >50K
27, Private,253814,9, Unmarried, White, Female,0,0,25, <=50K
21, Private,312956,9, Own-child, Black, Male,0,0,40, <=50K
34, Private,483777,9, Not-in-family, Black, Male,0,0,40, <=50K
18, Private,183930,9, Own-child, White, Male,0,0,12, <=50K
33, Private,37274,13, Husband, White, Male,0,0,65, <=50K
44, Local-gov,181344,10, Husband, Black, Male,0,0,38, >50K
43, Private,114580,10, Not-in-family, White, Female,0,0,40, <=50K
30, Private,633742,10, Not-in-family, Black, Male,0,0,45, <=50K
40, Private,286370,4, Husband, White, Male,0,0,40, >50K
37, Federal-gov,29054,10, Husband, White, Male,0,0,42, >50K
34, Private,304030,9, Husband, Black, Male,0,0,40, <=50K
41, Self-emp-not-inc,143129,13, Not-in-family, White, Female,0,0,40, <=50K
53, ?,135105,13, Not-in-family, White, Female,0,0,50, <=50K
31, Private,99928,14, Wife, White, Female,0,0,50, <=50K
58, State-gov,109567,16, Husband, White, Male,0,0,1, >50K
38, Private,155222,10, Not-in-family, Black, Female,0,0,28, <=50K
24, Private,159567,10, Husband, White, Male,0,0,40, <=50K
41, Local-gov,523910,13, Husband, Black, Male,0,0,40, <=50K
47, Private,120939,10, Husband, White, Male,0,0,45, <=50K
41, Federal-gov,130760,13, Husband, White, Male,0,0,24, <=50K
23, Private,197387,3, Other-relative, White, Male,0,0,40, <=50K
36, Private,99374,10, Not-in-family, White, Male,0,0,40, <=50K
40, Federal-gov,56795,14, Not-in-family, White, Female,14084,0,55, >50K
35, Private,138992,14, Other-relative, White, Male,7298,0,40, >50K
24, Self-emp-not-inc,32921,9, Not-in-family, White, Male,0,0,40, <=50K
26, Private,397317,14, Not-in-family, White, Female,0,1876,40, <=50K
19, ?,170653,9, Own-child, White, Male,0,0,40, <=50K
51, Private,259323,13, Husband, White, Male,0,0,50, >50K
42, Local-gov,254817,10, Not-in-family, White, Female,0,1340,40, <=50K
37, State-gov,48211,9, Unmarried, White, Female,0,0,35, <=50K
18, Private,140164,7, Own-child, White, Female,0,0,40, <=50K
36, Private,128757,13, Husband, Black, Male,7298,0,36, >50K
35, Private,36270,9, Not-in-family, White, Male,0,0,60, <=50K
58, Self-emp-inc,210563,9, Wife, White, Female,15024,0,35, >50K
17, Private,65368,7, Own-child, White, Female,0,0,12, <=50K
44, Local-gov,160943,9, Husband, Black, Male,0,0,40, <=50K
37, Private,208358,9, Husband, White, Male,0,0,40, >50K
35, Private,153790,10, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, <=50K
60, Private,85815,9, Husband, Asian-Pac-Islander, Male,0,0,40, <=50K
54, Self-emp-inc,125417,4, Husband, White, Male,0,0,40, >50K
37, Private,635913,13, Not-in-family, Black, Male,0,0,60, >50K
50, Private,313321,12, Not-in-family, White, Female,0,0,40, <=50K
38, Private,182609,13, Husband, White, Male,0,0,50, <=50K
45, Private,109434,13, Husband, White, Male,0,0,55, <=50K
25, Private,255004,6, Not-in-family, White, Male,0,0,40, <=50K
31, Private,197860,10, Husband, White, Male,0,0,40, <=50K
64, ?,187656,2, Not-in-family, White, Male,0,0,40, <=50K
90, Private,51744,9, Not-in-family, Black, Male,0,2206,40, <=50K
54, Private,176681,9, Husband, Black, Male,0,0,20, <=50K
53, Local-gov,140359,1, Not-in-family, White, Female,0,0,35, <=50K
18, Private,243313,9, Own-child, White, Female,0,0,40, <=50K
60, ?,24215,6, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, <=50K
66, Self-emp-not-inc,167687,9, Husband, White, Male,1409,0,50, <=50K
75, Private,314209,11, Not-in-family, White, Female,0,0,20, <=50K
65, Private,176796,9, Not-in-family, White, Female,0,0,40, <=50K
35, Private,538583,7, Not-in-family, Black, Male,3674,0,40, <=50K
41, Private,130408,9, Unmarried, Black, Female,0,0,38, <=50K
25, Private,159732,10, Not-in-family, White, Male,0,0,42, <=50K
33, Private,110978,10, Other-relative, Other, Female,0,0,40, <=50K
28, Private,76714,15, Not-in-family, White, Male,0,0,55, >50K
59, State-gov,268700,9, Husband, White, Male,0,0,40, <=50K
40, State-gov,170525,10, Not-in-family, White, Female,0,0,38, <=50K
41, Private,180138,13, Husband, White, Male,0,0,50, >50K
38, Local-gov,115076,14, Husband, White, Male,0,0,70, >50K
23, Private,115458,9, Own-child, White, Male,0,0,40, <=50K
40, Private,347890,13, Husband, White, Male,0,0,40, >50K
41, Self-emp-not-inc,196001,9, Wife, White, Female,0,0,20, <=50K
24, State-gov,273905,12, Husband, White, Male,0,0,50, <=50K
20, ?,119156,10, Own-child, White, Male,0,0,20, <=50K
38, Private,179488,10, Not-in-family, White, Male,0,1741,40, <=50K
56, Private,203580,9, Husband, White, Male,0,0,35, <=50K
58, Private,236596,9, Husband, White, Male,0,0,45, >50K
32, Private,183916,9, Not-in-family, White, Female,0,0,34, <=50K
40, Private,207578,12, Husband, White, Male,0,1977,60, >50K
45, Private,153141,9, Husband, White, Male,0,0,40, <=50K
41, Private,112763,15, Wife, White, Female,0,0,40, >50K
42, Private,390781,13, Wife, Black, Female,0,0,40, <=50K
59, Local-gov,171328,6, Unmarried, Black, Female,0,0,30, <=50K
19, Local-gov,27382,10, Own-child, White, Male,0,0,40, <=50K
58, Private,259014,10, Not-in-family, White, Male,0,0,20, <=50K
42, Self-emp-not-inc,303044,9, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
20, Private,117789,9, Own-child, White, Female,0,0,40, <=50K
32, Private,172579,9, Not-in-family, White, Female,0,0,30, <=50K
45, Private,187666,11, Not-in-family, White, Female,0,0,45, <=50K
50, Private,204518,4, Not-in-family, White, Male,0,0,40, <=50K
36, Private,150042,13, Own-child, White, Female,0,0,40, <=50K
45, Private,98092,9, Husband, White, Male,0,0,60, <=50K
17, Private,245918,7, Own-child, White, Male,0,0,12, <=50K
59, Private,146013,10, Husband, White, Male,4064,0,40, <=50K
26, Private,378322,7, Husband, White, Male,0,0,40, <=50K
37, Self-emp-inc,257295,10, Husband, Asian-Pac-Islander, Male,0,0,75, >50K
19, ?,218956,10, Own-child, White, Male,0,0,24, <=50K
64, Private,21174,9, Husband, White, Male,0,0,40, >50K
33, Private,185480,13, Not-in-family, White, Female,0,0,45, <=50K
33, Private,222205,9, Wife, White, Female,0,0,40, >50K
61, Private,69867,9, Husband, White, Male,0,0,40, >50K
17, Private,191260,5, Own-child, White, Male,1055,0,24, <=50K
50, Self-emp-not-inc,30653,14, Husband, White, Male,2407,0,98, <=50K
27, Local-gov,209109,14, Own-child, White, Male,0,0,35, <=50K
30, Private,70377,9, Own-child, White, Female,0,0,40, <=50K
43, Private,477983,9, Husband, Black, Male,0,0,40, <=50K
44, Private,170924,10, Husband, White, Male,7298,0,40, >50K
35, Private,190174,10, Not-in-family, White, Female,0,0,40, <=50K
25, Private,193787,10, Own-child, White, Female,0,0,40, <=50K
24, Private,279472,10, Wife, White, Female,7298,0,48, >50K
22, Private,34918,13, Not-in-family, White, Female,0,0,15, <=50K
42, Local-gov,97688,10, Husband, White, Male,5178,0,40, >50K
34, Private,175413,12, Unmarried, Black, Female,0,0,45, <=50K
60, Private,173960,13, Not-in-family, White, Female,0,0,42, <=50K
21, Private,205759,9, Own-child, White, Male,0,0,40, <=50K
57, Federal-gov,425161,14, Husband, White, Male,15024,0,40, >50K
41, Private,220531,15, Husband, White, Male,0,0,60, >50K
50, Private,176609,10, Not-in-family, White, Male,0,0,45, <=50K
25, Private,371987,13, Not-in-family, White, Female,0,0,40, <=50K
50, Private,193884,4, Husband, White, Male,0,0,40, <=50K
36, Private,200352,13, Husband, White, Male,0,0,45, <=50K
31, Private,127595,9, Not-in-family, White, Female,0,0,40, <=50K
29, Local-gov,220419,13, Not-in-family, White, Male,0,0,56, <=50K
21, Private,231931,10, Own-child, White, Male,0,0,45, <=50K
27, Private,248402,13, Unmarried, Black, Female,0,0,40, <=50K
65, Private,111095,9, Husband, White, Male,0,0,16, <=50K
37, Self-emp-inc,57424,13, Not-in-family, White, Female,0,0,60, <=50K
39, ?,157443,14, Wife, Asian-Pac-Islander, Female,3464,0,40, <=50K
24, Private,278130,9, Own-child, White, Male,0,0,40, <=50K
38, Private,169469,9, Not-in-family, White, Male,0,0,80, <=50K
48, Private,146268,13, Husband, White, Male,7688,0,40, >50K
21, Private,153718,10, Not-in-family, Asian-Pac-Islander, Female,0,0,25, <=50K
31, Private,217460,9, Husband, White, Male,0,0,45, >50K
55, Private,238638,9, Husband, White, Male,4386,0,40, >50K
24, Private,303296,10, Wife, Asian-Pac-Islander, Female,0,0,40, <=50K
43, Private,173321,9, Not-in-family, White, Female,0,0,40, <=50K
26, Private,193945,12, Not-in-family, White, Male,0,0,45, <=50K
46, Private,83082,12, Not-in-family, White, Female,0,0,33, <=50K
35, Private,193815,12, Husband, White, Male,0,0,40, >50K
41, Self-emp-inc,34987,10, Husband, White, Male,0,0,54, >50K
26, Private,59306,13, Not-in-family, White, Male,0,0,40, <=50K
34, Private,142897,14, Husband, Asian-Pac-Islander, Male,7298,0,35, >50K
19, ?,860348,10, Own-child, Black, Female,0,0,25, <=50K
36, Self-emp-not-inc,205607,13, Not-in-family, Black, Female,0,0,40, >50K
22, Private,199698,10, Own-child, White, Male,0,0,15, <=50K
24, Private,191954,10, Not-in-family, White, Male,0,0,40, <=50K
77, Self-emp-not-inc,138714,10, Husband, White, Male,0,0,40, <=50K
22, Private,399087,3, Other-relative, White, Female,0,0,40, <=50K
29, Private,423158,10, Not-in-family, White, Female,0,0,40, <=50K
62, Private,159841,9, Not-in-family, White, Female,0,0,24, <=50K
39, Self-emp-not-inc,174308,9, Husband, White, Male,0,0,40, <=50K
43, Private,50356,10, Husband, White, Male,0,1485,50, <=50K
35, Private,186110,9, Not-in-family, White, Male,0,0,45, <=50K
29, Private,200381,7, Not-in-family, White, Female,0,0,40, <=50K
76, Self-emp-not-inc,174309,14, Husband, White, Male,0,0,10, <=50K
63, Self-emp-not-inc,78383,9, Husband, White, Male,0,0,45, <=50K
23, ?,211601,11, Own-child, Black, Female,0,0,15, <=50K
43, Private,187728,10, Wife, White, Female,0,1887,50, >50K
58, Self-emp-not-inc,321171,9, Husband, White, Male,0,0,40, <=50K
66, Private,127921,9, Not-in-family, White, Male,2050,0,55, <=50K
41, Private,206565,10, Not-in-family, Black, Male,0,0,45, <=50K
26, Private,224563,13, Not-in-family, White, Male,0,0,40, <=50K
47, Private,178686,11, Not-in-family, White, Male,0,0,40, <=50K
55, Local-gov,98545,6, Husband, White, Male,0,0,40, <=50K
53, Private,242606,9, Husband, White, Male,0,0,40, <=50K
17, Private,270942,3, Other-relative, White, Male,0,0,48, <=50K
30, Private,94235,9, Other-relative, White, Male,0,0,40, <=50K
49, Private,71195,14, Not-in-family, White, Male,0,0,60, <=50K
19, Private,104112,9, Unmarried, Black, Male,0,0,30, <=50K
45, Private,261192,9, Husband, Black, Male,0,0,40, <=50K
26, Private,94936,12, Not-in-family, White, Male,0,0,40, <=50K
38, Private,296478,11, Husband, White, Male,7298,0,40, >50K
36, State-gov,119272,9, Husband, White, Male,7298,0,40, >50K
33, Private,85043,9, Not-in-family, White, Male,0,0,20, <=50K
22, State-gov,293364,10, Own-child, Black, Female,0,0,40, <=50K
43, Self-emp-not-inc,241895,13, Not-in-family, White, Male,0,0,42, <=50K
67, ?,36135,7, Husband, White, Male,0,0,8, <=50K
30, ?,151989,11, Unmarried, White, Female,0,0,40, <=50K
56, Private,101128,12, Not-in-family, White, Male,0,0,25, <=50K
31, Private,156464,13, Own-child, White, Male,0,0,25, <=50K
33, Private,117963,13, Husband, White, Male,0,0,40, >50K
26, Private,192262,9, Husband, White, Male,0,0,40, <=50K
33, Private,111363,13, Husband, White, Male,0,0,40, >50K
46, Local-gov,329752,7, Husband, White, Male,0,0,30, <=50K
59, ?,372020,13, Husband, White, Male,0,0,40, >50K
38, Federal-gov,95432,9, Husband, White, Male,0,0,40, >50K
65, Private,161400,7, Unmarried, Other, Male,0,0,40, <=50K
40, Private,96129,11, Husband, White, Male,0,0,40, >50K
42, Private,111949,9, Wife, White, Female,0,0,35, <=50K
26, Self-emp-not-inc,117125,5, Husband, White, Male,0,0,40, <=50K
36, Private,348022,6, Wife, White, Female,0,0,24, <=50K
62, Private,270092,14, Husband, White, Male,0,0,40, >50K
43, Private,180609,13, Husband, White, Male,0,0,45, <=50K
43, Private,174575,13, Not-in-family, White, Male,0,1564,45, >50K
22, Private,410439,9, Not-in-family, White, Male,0,0,55, <=50K
28, Private,92262,9, Husband, White, Male,0,0,40, <=50K
56, Self-emp-not-inc,183081,10, Husband, White, Male,0,0,45, <=50K
22, Private,362589,12, Not-in-family, White, Female,0,0,15, <=50K
57, Private,212448,13, Not-in-family, White, Female,0,0,45, >50K
39, Private,481060,9, Unmarried, White, Female,0,0,40, <=50K
26, Federal-gov,185885,10, Unmarried, White, Female,0,0,15, <=50K
17, Private,89821,7, Own-child, White, Male,0,0,10, <=50K
40, State-gov,184018,11, Husband, White, Male,0,0,38, >50K
45, Private,256649,9, Husband, Black, Male,0,0,40, <=50K
44, Private,160323,9, Not-in-family, Black, Male,0,0,40, <=50K
20, Local-gov,350845,10, Own-child, White, Female,0,0,10, <=50K
33, Private,267404,9, Wife, White, Female,0,0,40, <=50K
23, Private,35633,10, Not-in-family, White, Male,0,0,40, <=50K
46, Self-emp-not-inc,80914,14, Not-in-family, White, Male,0,0,30, <=50K
38, Private,172927,9, Husband, White, Male,0,0,50, <=50K
54, Private,174319,9, Not-in-family, White, Male,0,0,40, <=50K
46, Private,214955,3, Not-in-family, White, Female,0,2339,45, <=50K
25, Private,344991,10, Husband, White, Male,0,0,40, <=50K
46, Private,108699,10, Not-in-family, White, Female,0,0,40, <=50K
36, Local-gov,117312,10, Wife, White, Female,0,0,40, <=50K
23, Private,396099,9, Not-in-family, White, Female,0,0,25, <=50K
29, Private,134152,9, Not-in-family, White, Male,0,0,40, <=50K
44, Private,162028,10, Wife, White, Female,0,2415,6, >50K
19, Private,25429,10, Own-child, White, Female,0,0,16, <=50K
19, Private,232392,9, Other-relative, White, Female,0,0,40, <=50K
35, Private,220098,9, Wife, White, Female,0,0,40, >50K
27, Private,301302,13, Not-in-family, White, Male,0,0,50, <=50K
46, Self-emp-not-inc,277946,12, Not-in-family, White, Male,0,0,40, <=50K
34, State-gov,98101,13, Husband, White, Male,7688,0,45, >50K
34, Private,196164,9, Not-in-family, White, Female,0,0,35, <=50K
44, Private,115562,10, Husband, White, Male,0,0,40, <=50K
45, Private,96975,10, Unmarried, White, Female,0,0,40, <=50K
20, ?,137300,9, Other-relative, White, Female,0,0,35, <=50K
25, Private,86872,13, Husband, White, Male,0,0,55, >50K
52, Self-emp-inc,132178,13, Husband, White, Male,0,0,50, >50K
20, Private,416103,10, Own-child, White, Male,0,0,40, <=50K
28, Private,108574,10, Not-in-family, White, Female,0,0,40, <=50K
50, State-gov,288353,13, Husband, White, Male,0,0,40, >50K
34, Private,227689,11, Not-in-family, White, Female,0,0,64, <=50K
28, Private,166481,4, Husband, Other, Male,0,2179,40, <=50K
41, Private,445382,14, Husband, White, Male,0,1977,65, >50K
28, Private,110145,9, Husband, White, Male,0,0,40, <=50K
46, Self-emp-not-inc,317253,9, Husband, White, Male,0,0,25, <=50K
28, ?,123147,10, Wife, White, Female,0,1887,40, >50K
32, Private,364657,10, Husband, White, Male,0,0,50, <=50K
41, Local-gov,42346,10, Not-in-family, Black, Female,0,0,24, <=50K
24, Private,241951,9, Unmarried, Black, Female,0,0,40, <=50K
33, Private,118500,10, Unmarried, White, Female,0,0,40, <=50K
46, Private,188386,16, Husband, White, Male,15024,0,60, >50K
31, State-gov,1033222,10, Husband, White, Male,0,0,40, <=50K
35, Private,92440,8, Not-in-family, White, Male,0,0,50, >50K
52, Private,190762,2, Husband, White, Male,0,0,40, <=50K
30, Private,426017,7, Own-child, White, Female,0,0,19, <=50K
34, Local-gov,243867,7, Not-in-family, Black, Male,0,0,40, <=50K
34, State-gov,240283,9, Unmarried, White, Female,0,0,40, <=50K
20, Private,61777,10, Husband, White, Male,0,0,30, <=50K
17, Private,175024,7, Own-child, White, Male,2176,0,18, <=50K
32, State-gov,92003,13, Wife, White, Female,0,0,40, >50K
29, Private,188401,9, Not-in-family, White, Male,0,0,40, <=50K
33, Private,228528,6, Unmarried, White, Female,0,0,35, <=50K
25, Private,133373,9, Husband, White, Male,0,0,60, <=50K
